Image,IoU,PA
325435_leftImg8bit_0.png,0.990341248,0.990763346
331073_leftImg8bit_0.png,1,1
333152_leftImg8bit_0.png,0.350310028,0.381795247
335141_leftImg8bit_0.png,0.997678586,0.997680664
335419_leftImg8bit_0.png,0.610709914,0.611755371
338730_leftImg8bit_0.png,0.996886574,0.996887207
339555_leftImg8bit_0.png,0.437525035,0.571472168
341533_leftImg8bit_0.png,0.880635565,0.89469401
343047_leftImg8bit_0.png,0.499653575,0.72084554
345188_leftImg8bit_0.png,0.861002604,0.861002604
346341_leftImg8bit_0.png,0.864053439,0.886962891
351033_leftImg8bit_0.png,0.732791144,0.759358724
356154_leftImg8bit_0.png,0.597900201,0.653259277
357435_leftImg8bit_0.png,1,1
358475_leftImg8bit_0.png,0.735398826,0.776204427
359279_leftImg8bit_0.png,0.968011271,0.96858724
359828_leftImg8bit_0.png,0.624931518,0.818929036
361773_leftImg8bit_0.png,0.984781901,0.984781901
364999_leftImg8bit_0.png,0.826839367,0.93363444
365874_leftImg8bit_0.png,0.838764632,0.880615234
370199_leftImg8bit_0.png,0.998738607,0.998738607
370724_leftImg8bit_0.png,0.790972445,0.893819173
372997_leftImg8bit_0.png,0.942983902,0.954243978
373112_leftImg8bit_0.png,0.950367214,0.952840169
376062_leftImg8bit_0.png,1,1
376614_leftImg8bit_0.png,0.995939911,0.996337891
378357_leftImg8bit_0.png,0.933520387,0.940226237
378539_leftImg8bit_0.png,0.982376513,0.982462565
380010_leftImg8bit_0.png,0.977213542,0.977213542
380341_leftImg8bit_0.png,0.813332684,0.844075521
382112_leftImg8bit_0.png,0.987182617,0.987182617
383620_leftImg8bit_0.png,0.846069336,0.846069336
385555_leftImg8bit_0.png,0.87854217,0.882364909
388661_leftImg8bit_0.png,0.99991862,0.99991862
392964_leftImg8bit_0.png,0.229286671,0.496398926
397882_leftImg8bit_0.png,0.530476888,0.530476888
398503_leftImg8bit_0.png,0.667734802,0.850219727
404966_leftImg8bit_0.png,0.962086035,0.964782715
405880_leftImg8bit_0.png,0.871592974,0.91805013
406929_leftImg8bit_0.png,0.965980401,0.967793783
408519_leftImg8bit_0.png,0.996678959,0.996683757
411206_leftImg8bit_0.png,0.937096906,0.937296549
414746_leftImg8bit_0.png,0.961629232,0.961629232
419015_leftImg8bit_0.png,0.632733452,0.806518555
419324_leftImg8bit_0.png,0.75336312,0.792236328
419355_leftImg8bit_0.png,0.929091217,0.931803385
422755_leftImg8bit_0.png,0.842163086,0.842163086
423524_leftImg8bit_0.png,0.92410098,0.934000651
424514_leftImg8bit_0.png,0.922650454,0.94124349
427031_leftImg8bit_0.png,0.898307185,0.916524251
427132_leftImg8bit_0.png,0.98068527,0.983439128
429139_leftImg8bit_0.png,0.793721517,0.793721517
431140_leftImg8bit_0.png,0.516275406,0.687683105
431662_leftImg8bit_0.png,0.995788574,0.995788574
432321_leftImg8bit_0.png,0.668042162,0.698852539
438597_leftImg8bit_0.png,0.94679311,0.948404948
438787_leftImg8bit_0.png,0.953326857,0.954060872
441374_leftImg8bit_0.png,0.934143545,0.94156901
441440_leftImg8bit_0.png,0.819051869,0.85152181
443193_leftImg8bit_0.png,0.819726231,0.842183431
444314_leftImg8bit_0.png,0.842077967,0.851318359
446410_leftImg8bit_0.png,0.986735026,0.986735026
449910_leftImg8bit_0.png,0.858279419,0.868082682
450659_leftImg8bit_0.png,0.878545184,0.880289714
452744_leftImg8bit_0.png,0.869626123,0.890177409
456925_leftImg8bit_0.png,0.996419271,0.996419271
458200_leftImg8bit_0.png,0.807920792,0.915140788
461854_leftImg8bit_0.png,0.89509476,0.961710612
462138_leftImg8bit_0.png,0.400303075,0.500813802
464874_leftImg8bit_0.png,0.965130931,0.969034831
467672_leftImg8bit_0.png,0.892558305,0.901774089
468830_leftImg8bit_0.png,0.990087113,0.990600586
470016_leftImg8bit_0.png,0.415830017,0.674458822
471875_leftImg8bit_0.png,0.992045085,0.992045085
472179_leftImg8bit_0.png,0.999593099,0.999593099
474509_leftImg8bit_0.png,0.960038797,0.962280273
476678_leftImg8bit_0.png,0.986287435,0.986287435
476713_leftImg8bit_0.png,0.995024876,0.995117188
478843_leftImg8bit_0.png,0.781373844,0.905721029
479507_leftImg8bit_0.png,0.987472501,0.987487793
480826_leftImg8bit_0.png,0.970719081,0.977905273
481556_leftImg8bit_0.png,0.974538129,0.975830078
486389_leftImg8bit_0.png,0.843455423,0.843566895
488190_leftImg8bit_0.png,0.942478409,0.970865885
488344_leftImg8bit_0.png,0.91149977,0.91784668
489937_leftImg8bit_0.png,0.874973124,0.905354818
492095_leftImg8bit_0.png,0.881372971,0.899169922
492168_leftImg8bit_0.png,0.880716029,0.910522461
493930_leftImg8bit_0.png,0.981189545,0.981404622
495952_leftImg8bit_0.png,0.912609309,0.936971029
496631_leftImg8bit_0.png,0.750407899,0.757242839
497226_leftImg8bit_0.png,0.991575676,0.991617839
500110_leftImg8bit_0.png,0.969357877,0.97253418
503253_leftImg8bit_0.png,0.997233073,0.997233073
503459_leftImg8bit_0.png,0.687264681,0.807352702
503750_leftImg8bit_0.png,0.977579753,0.977579753
504596_leftImg8bit_0.png,0.600097656,0.600097656
505367_leftImg8bit_0.png,0.960270642,0.961771647
507296_leftImg8bit_0.png,0.601817335,0.687072754
510712_leftImg8bit_0.png,1,1
511905_leftImg8bit_0.png,0.767547078,0.767944336
515181_leftImg8bit_0.png,0.956348871,0.958007813
516626_leftImg8bit_0.png,0.641537844,0.709391276
520768_leftImg8bit_0.png,0.972688951,0.990641276
522953_leftImg8bit_0.png,0.986994611,0.987284342
523411_leftImg8bit_0.png,0.866103032,0.879170736
524397_leftImg8bit_0.png,0.782864036,0.860839844
528575_leftImg8bit_0.png,0.929992676,0.929992676
529313_leftImg8bit_0.png,0.936787923,0.936787923
529503_leftImg8bit_0.png,0.886128743,0.886128743
530028_leftImg8bit_0.png,0.948971535,0.950032552
532082_leftImg8bit_0.png,0.818362579,0.851318359
533083_leftImg8bit_0.png,0.928584782,0.96891276
534952_leftImg8bit_0.png,0.924449498,0.929707845
537156_leftImg8bit_0.png,0.900928793,0.908203125
543150_leftImg8bit_0.png,0.968921464,0.969116211
544336_leftImg8bit_0.png,0.872183429,0.875244141
545380_leftImg8bit_0.png,0.717840217,0.796508789
547407_leftImg8bit_0.png,0.957834807,0.959920247
548235_leftImg8bit_0.png,0.896580484,0.924316406
553005_leftImg8bit_0.png,1,1
557371_leftImg8bit_0.png,0.924930453,0.925333659
